email,pattern,domain,consumer,flow
temp33@protonmail.com,sequential,protonmail.com,WEB,PASSWORD_RESET
ronald.martinez21@hotmail.com,name_sequential,hotmail.com,PORTAL,SIGNUP_EMAIL_VERIFY
abcdef55@outlook.com,keyboard_walk,outlook.com,API,PWDLESS_LOGIN_EMAIL
service+72@outlook.com,plus_addressing,outlook.com,PORTAL,SIGNUP_EMAIL_VERIFY
rfvtgb2025@outlook.com,keyboard_dated,outlook.com,API,PASSWORD_RESET
charles.anderson.2025@gmx.de,dated,gmx.de,OWF,SIGNUP_EMAIL_VERIFY
user21.2025@services.com,sequential_dated,services.com,API,PWDLESS_LOGIN_EMAIL
user15.2025@gmx.de,sequential_dated,gmx.de,OWF,PWDLESS_LOGIN_EMAIL
ronald.lewis68@hotmail.com,name_sequential,hotmail.com,OWF,PWDLESS_LOGIN_EMAIL
charles.anderson.2025@gmx.de,dated,gmx.de,PORTAL,PASSWORD_RESET
3ancmfjcxvmy@firm.com,gibberish,firm.com,API,SIGNUP_EMAIL_VERIFY
account072@mail.com,sequential_padded,mail.com,MOBILE,SIGNUP_EMAIL_VERIFY
ronald.torres98@hotmail.com,name_sequential,hotmail.com,WEB,PWDLESS_LOGIN_EMAIL
contact_s@agency.com,letter_sequential,agency.com,PORTAL,SIGNUP_EMAIL_VERIFY
george.nguyen+newsletter49@yahoo.com,plus_addressing_tags,yahoo.com,OWF,PASSWORD_RESET
info_4@outlook.com,variations,outlook.com,API,PWDLESS_LOGIN_EMAIL
ronald.harris41@hotmail.com,name_sequential,hotmail.com,API,SIGNUP_EMAIL_VERIFY
account081@mail.com,sequential_padded,mail.com,API,PASSWORD_RESET
george.nguyen+test23@yahoo.com,plus_addressing_tags,yahoo.com,OWF,SIGNUP_EMAIL_VERIFY
account065@mail.com,sequential_padded,mail.com,OWF,SIGNUP_EMAIL_VERIFY
1234560@outlook.com,keyboard_walk,outlook.com,OWF,SIGNUP_EMAIL_VERIFY
service+75@outlook.com,plus_addressing,outlook.com,OWF,PWDLESS_LOGIN_EMAIL
ronald.thompson27@hotmail.com,name_sequential,hotmail.com,API,PASSWORD_RESET
account066@mail.com,sequential_padded,mail.com,WEB,SIGNUP_EMAIL_VERIFY
temp31@protonmail.com,sequential,protonmail.com,PORTAL,PASSWORD_RESET
c61xjossjt4@firm.com,gibberish,firm.com,OWF,PASSWORD_RESET
234567@outlook.com,keyboard_walk,outlook.com,MOBILE,PASSWORD_RESET
yr6w0f4@company.com,gibberish_sequential,company.com,MOBILE,PWDLESS_LOGIN_EMAIL
charles_2025@gmx.de,dated,gmx.de,WEB,SIGNUP_EMAIL_VERIFY
fsdhy457jvg8i@firm.com,gibberish,firm.com,PORTAL,PWDLESS_LOGIN_EMAIL
service+14@outlook.com,plus_addressing,outlook.com,WEB,PWDLESS_LOGIN_EMAIL
z17pz943@mail.com,gibberish_sequential,mail.com,API,SIGNUP_EMAIL_VERIFY
w2i04x91@yandex.com,gibberish_sequential,yandex.com,PORTAL,PASSWORD_RESET
user6.2025@enterprise.com,sequential_dated,enterprise.com,MOBILE,SIGNUP_EMAIL_VERIFY
ybojy1yby3@firm.com,gibberish,firm.com,OWF,PWDLESS_LOGIN_EMAIL
service+85@outlook.com,plus_addressing,outlook.com,OWF,PASSWORD_RESET
temp8@protonmail.com,sequential,protonmail.com,PORTAL,SIGNUP_EMAIL_VERIFY
contact_p@agency.com,letter_sequential,agency.com,OWF,PWDLESS_LOGIN_EMAIL
2025.charles@gmx.de,dated,gmx.de,PORTAL,PASSWORD_RESET
temp16@protonmail.com,sequential,protonmail.com,OWF,SIGNUP_EMAIL_VERIFY
service+95@outlook.com,plus_addressing,outlook.com,WEB,SIGNUP_EMAIL_VERIFY
abcdef46@outlook.com,keyboard_walk,outlook.com,OWF,PASSWORD_RESET
ddq4f4fvvtm@firm.com,gibberish,firm.com,API,PASSWORD_RESET
info69_test@outlook.com,variations,outlook.com,WEB,SIGNUP_EMAIL_VERIFY
12345654@outlook.com,keyboard_walk,outlook.com,MOBILE,PWDLESS_LOGIN_EMAIL
zxd6jff3yn9fod@firm.com,gibberish,firm.com,PORTAL,PWDLESS_LOGIN_EMAIL
zxcvbn2025@consulting.com,keyboard_dated,consulting.com,API,SIGNUP_EMAIL_VERIFY
charles.anderson.2025@gmx.de,dated,gmx.de,API,SIGNUP_EMAIL_VERIFY
temp51@protonmail.com,sequential,protonmail.com,WEB,SIGNUP_EMAIL_VERIFY
info34_test@outlook.com,variations,outlook.com,WEB,SIGNUP_EMAIL_VERIFY
ronald.flores19@hotmail.com,name_sequential,hotmail.com,API,SIGNUP_EMAIL_VERIFY
temp45@protonmail.com,sequential,protonmail.com,MOBILE,PWDLESS_LOGIN_EMAIL
account057@mail.com,sequential_padded,mail.com,OWF,PWDLESS_LOGIN_EMAIL
george.nguyen+newsletter68@yahoo.com,plus_addressing_tags,yahoo.com,WEB,SIGNUP_EMAIL_VERIFY
ronald.lee66@hotmail.com,name_sequential,hotmail.com,MOBILE,SIGNUP_EMAIL_VERIFY
xm4s157lla@firm.com,gibberish,firm.com,PORTAL,SIGNUP_EMAIL_VERIFY
anderson.2025@gmx.de,dated,gmx.de,API,SIGNUP_EMAIL_VERIFY
krg8qffp@firm.com,gibberish,firm.com,API,PWDLESS_LOGIN_EMAIL
account005@mail.com,sequential_padded,mail.com,MOBILE,PASSWORD_RESET
wsxedc7@outlook.com,keyboard_walk,outlook.com,API,PWDLESS_LOGIN_EMAIL
service+25@outlook.com,plus_addressing,outlook.com,PORTAL,PASSWORD_RESET
t0g5kf52loicxf@firm.com,gibberish,firm.com,PORTAL,PASSWORD_RESET
george.nguyen+signup95@yahoo.com,plus_addressing_tags,yahoo.com,OWF,SIGNUP_EMAIL_VERIFY
zxcvbn2025@agency.com,keyboard_dated,agency.com,API,PASSWORD_RESET
abcdef2025@icloud.com,keyboard_dated,icloud.com,PORTAL,SIGNUP_EMAIL_VERIFY
abcdef92@outlook.com,keyboard_walk,outlook.com,OWF,SIGNUP_EMAIL_VERIFY
service+40@outlook.com,plus_addressing,outlook.com,PORTAL,SIGNUP_EMAIL_VERIFY
george.nguyen+signup89@yahoo.com,plus_addressing_tags,yahoo.com,WEB,PASSWORD_RESET
temp9@protonmail.com,sequential,protonmail.com,MOBILE,PWDLESS_LOGIN_EMAIL
account061@mail.com,sequential_padded,mail.com,WEB,SIGNUP_EMAIL_VERIFY
info-92@outlook.com,variations,outlook.com,OWF,PWDLESS_LOGIN_EMAIL
fedcba@outlook.com,keyboard_walk,outlook.com,WEB,PASSWORD_RESET
